cell,cell,batch,leiden,Individual,Technology,Brain Region,AD Index,Total Methylome Reads,Overall Adjusted mCG%,Overall Adjusted mCH%,Overall mCCC%,tsne_0,tsne_1,umap_0,umap_1,pca_0,pca_1,pca_2,pca_3,MajorCluster,ClusterAnno,MajorType,ClusterAnnoHuslColor,ClusterAnnoTab10Color,SubCluster,SubClusterAnno,m3c_cluster
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD010,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD010,1968476.0,0.7789677601246194,0.01190292127217437,0.008729550634920126,-19.826726225352395,-9.706538701621646,22.825305590691023,13.065514976496118,-0.32719350678721576,0.23971549725826224,0.029858391088607158,-0.132066475432965,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD012,snm3C-seq,12,UMB5577,snm3C-seq,BA10,AD012,1836323.0,0.7850080875338866,0.038511521861942094,0.012209278210518005,-68.10127425758101,6.932660012141871,-4.050599140011721,23.235263026736234,-0.007212299273597468,-0.018358264026982974,0.18718869646991623,-0.04451611394899402,11,Exc L6 TLE4,Exc,#34ae90,#9467bd,2,Exc L6 TLE4 2,M3C Exc L6 TLE4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD001,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD001,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD001,1691347.0,0.7637770897832817,0.012105871991317971,0.008080001995062222,-16.797681023405413,-22.42677230761859,25.79832262307266,13.903469441624214,-0.49514578103032686,0.36936625891721436,-0.01913284947593559,-0.07993766720931296,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD002,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD002,1875916.0,0.7668295429119963,0.009615117385278116,0.006376659911293765,-35.84946498703025,-23.022711075569646,26.159902143112536,14.02668768267986,-0.5231007248920726,0.463232815209723,-0.015057963785499867,-0.1112267016507135,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD004,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD004,1826282.0,0.7827368732743055,0.009251891126334141,0.007282516753595214,-18.538339797098914,-12.052546132690122,23.215740449302128,12.682708586508676,-0.23137410775243009,0.24861019381700375,-0.024888764948910118,-0.10719300918212524,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD006,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD006,2530197.0,0.6822398606970005,0.007013077321143646,0.006735172101434727,-4.889260890027664,-25.885614734861388,15.225299746645051,4.892967874995081,-0.22508628498192781,0.2636148188554275,-0.0482407552138772,-0.21684537428220435,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,3,NonN Micro-Endo TYROBP 3,M3C NonN Other -
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD007,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD007,2398245.0,0.7408054656197582,0.008058388806314204,0.0068699295003439315,-2.757504023770739,-21.72217828294741,15.819802745446903,5.319363178971506,-0.2485143963843338,0.2700240090066717,-0.025327893943970257,-0.1464965062328116,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD008,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD008,2215550.0,0.720065520853503,0.007619010770099494,0.007061569339696892,-3.664937541382471,-26.148512703005913,15.859485585275618,4.553329204138051,-0.2316388067384992,0.2851428205716436,-0.03556143722911074,-0.19964611089824938,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD010,snm3C-seq,13,UMB5577,snm3C-seq,BA10,AD010,2260485.0,0.759237867369266,0.006704369093593676,0.006318608849135067,-5.860537426499605,-16.50425906206727,14.904955494347012,6.062746561232504,-0.23988858858510695,0.31582351561694877,-0.026837074150351557,-0.20951883597897364,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,2,NonN Micro-Endo TYROBP 2,M3C NonN Other -
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD012,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD012,2550831.0,0.7638442055127809,0.008179856198602611,0.0074371007903881485,-22.880706123439314,-9.056672181757504,22.181997044796343,12.703502096282406,-0.27826006984862384,0.3396607565787131,-0.05243961965052236,-0.20003104007839972,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD002,snm3C-seq,2,UMB5577,snm3C-seq,BA10,AD002,1418179.0,0.7648492238427989,0.04168589205145976,0.013353939012148043,-14.969961537026148,21.98149845232886,0.19991777145626666,4.954766392232818,0.4711952026069363,0.03690916454793101,-0.4494545376635555,-0.020295717278085563,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,1,Exc L1-3 CUX2 1,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD004,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD004,1691710.0,0.7624386417969801,0.057332030568670665,0.01571726811810319,-2.0044083597331306,16.38196054924538,1.3157926257867074,8.273065967699592,0.6587506096194146,0.04053568879109499,-0.28210555231842416,-0.06598361208143637,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD006,snm3C-seq,12,UMB5577,snm3C-seq,BA10,AD006,1686993.0,0.7549857845974755,0.06038932592974713,0.017112078534634333,-67.62574961595881,-5.574370196549885,-7.018130390051133,23.4652234661832,0.22258841245722266,-0.11885011141459388,0.11610885781039071,-0.08562586997253772,11,Exc L6 TLE4,Exc,#34ae90,#9467bd,4,Exc L6 TLE4 4,M3C Exc L6 TLE4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD008,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD008,1858525.0,0.7581553174574575,0.011562684615938864,0.009053639647599991,-18.01795052420826,-17.219857429184206,23.83341317012241,13.516541397024154,-0.3767443611118539,0.36512970403330425,-0.059017116037129426,-0.10778537215957569,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD010,snm3C-seq,17,UMB5577,snm3C-seq,BA10,AD010,1618408.0,0.7845393662612226,0.0645775358661047,0.017503231603158503,25.410016452476995,-11.279002980252425,4.321566931163548,18.77738140166964,0.15969293736724036,0.12292531913016752,0.42416159884805665,0.1862613037431858,13,Exc L4 PLCH1,Exc,#d58c31,#ff7f0e,2,Exc L4 PLCH1 2,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD012,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD012,1564662.0,0.781241177927456,0.009242083223145087,0.007963900947406191,-20.68095992563029,-9.81625393792391,22.967215531601067,13.133502365058757,-0.35996393705787066,0.29202806318237906,-0.0028561366897875322,-0.11352185241392482,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD002,snm3C-seq,19,UMB5577,snm3C-seq,BA10,AD002,2465577.0,0.8069077773813771,0.04266701971736285,0.012331957102905902,39.15625685301548,29.42228913108951,23.249539500477145,-12.02065543309664,-0.4067338698329546,-0.35996439923268797,-0.05237966778351503,0.24948208791870635,17,Inh CGE LAMP5,Inh,#2e6286,#824c71,3,Inh CGE LAMP5 3,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD004,snm3C-seq,19,UMB5577,snm3C-seq,BA10,AD004,2907878.0,0.80775951447356,0.038831497466052835,0.012244575493643684,38.849528311182226,28.19618419781155,23.810748754681693,-11.725594658944036,-0.42938502625201347,-0.2998995991131827,-0.059764396259154876,0.24258659020413958,17,Inh CGE LAMP5,Inh,#2e6286,#824c71,2,Inh CGE LAMP5 2,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD006,snm3C-seq,7,UMB5577,snm3C-seq,BA10,AD006,2886230.0,0.8181506247118816,0.05246277764845536,0.013597393996258823,-0.3782732046933853,-53.039870893135664,37.48836403055808,6.244615394354704,-0.3997181778920888,-0.516587846540628,-0.016319242857907132,-0.19378099327314965,8,Inh MGE PVALB,Inh,#36aab5,#8c564b,3,Inh MGE PVALB 3,M3C Inh MGE PVALB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD007,snm3C-seq,5,UMB5577,snm3C-seq,BA10,AD007,2343678.0,0.815135286102587,0.05781242279190249,0.015241922788270627,20.755698970696212,-37.597055274988925,38.11746467971667,10.588604762543222,-0.3747785365627259,-0.42965569394656844,0.005476790677788117,-0.34846433379272257,6,Inh MGE CALB1,Inh,#73c4cb,#af8981,2,Inh MGE CALB1 2,M3C Inh MGE SST
