cell,cell,batch,leiden,Individual,Technology,Brain Region,AD Index,Total Methylome Reads,Overall Adjusted mCG%,Overall Adjusted mCH%,Overall mCCC%,tsne_0,tsne_1,umap_0,umap_1,pca_0,pca_1,pca_2,pca_3,MajorCluster,ClusterAnno,MajorType,ClusterAnnoHuslColor,ClusterAnnoTab10Color,SubCluster,SubClusterAnno,m3c_cluster
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C10_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C10_AD008,snm3C-seq,4,UMB5577,snm3C-seq,BA10,AD008,1943221.0,0.7698717438541115,0.01804100006637885,0.010801209838375668,9.10728198078089,40.236979131945496,24.808410880693337,5.107145308391672,-0.5460133727306951,0.434112714602325,-0.06942457249601003,0.022512139058743465,7,NonN Astro FGF3R,NonN,#c053a7,#959622,0,NonN Astro FGF3R 0,M3C NonN Astro FGF3R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD007,snm3C-seq,14,UMB5577,snm3C-seq,BA10,AD007,5127226.0,0.7778336880797143,0.06270873772509658,0.01643702830169925,17.76888865858916,-1.030493612834722,2.3936746279797787,13.910789912754723,0.6332155815064688,0.08928776656459825,0.1763470140000324,0.06483675235059987,13,Exc L4 PLCH1,Exc,#d58c31,#ff7f0e,1,Exc L4 PLCH1 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD008,snm3C-seq,12,UMB5577,snm3C-seq,BA10,AD008,4765933.0,0.7381939649585159,0.052021198819216734,0.01519411666302068,-65.32310121963894,-7.007976079152609,-7.727134053260905,24.087541212787315,0.2121474817195479,-0.1429989434572402,0.14490387972106866,-0.10259334670363543,11,Exc L6 TLE4,Exc,#34ae90,#9467bd,1,Exc L6 TLE4 1,M3C Exc L6 TLE4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD010,snm3C-seq,5,UMB5577,snm3C-seq,BA10,AD010,5333962.0,0.8157114727246262,0.06484150251748068,0.016456160609515116,21.926038310290217,-48.013970054589805,35.13953910805113,10.516049090557276,-0.3976817852149394,-0.5430509708837259,-0.07022942279654662,-0.28445641214817696,6,Inh MGE CALB1,Inh,#73c4cb,#af8981,3,Inh MGE CALB1 3,M3C Inh MGE SST
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C11_AD012,snm3C-seq,4,UMB5577,snm3C-seq,BA10,AD012,7450168.0,0.7709396747396471,0.017177486172600908,0.00888067788425384,12.383202321013835,50.84431191658276,27.06843153820244,4.227238863212071,-0.6358006509191745,0.4512217517609489,-0.04873285935492562,0.10261135743623252,7,NonN Astro FGF3R,NonN,#c053a7,#959622,0,NonN Astro FGF3R 0,M3C NonN Astro FGF3R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD007,snm3C-seq,4,UMB5577,snm3C-seq,BA10,AD007,3049402.0,0.7713327156983251,0.017843012516906096,0.008754624417190996,15.75054353267871,49.727018118947676,25.987709215545237,4.071766306152127,-0.5773993739234327,0.45543523648371426,-0.05809303132257953,0.07842289342063594,7,NonN Astro FGF3R,NonN,#c053a7,#959622,0,NonN Astro FGF3R 0,M3C NonN Astro FGF3R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD008,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD008,2848740.0,0.7216002184598579,0.010057506940488613,0.00929443724507517,-1.0145327484615934,-25.09101009150899,16.493643209712715,4.724044295836097,-0.24954317240764023,0.26386632990231834,-0.029675981883532265,-0.16688539295353935,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD010,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD010,3004050.0,0.7490714478580068,0.01023698813572184,0.007372894998842365,-33.0111867735469,-30.591369165684196,27.07987488597999,13.45323380964395,-0.5415018636816601,0.46019302510769505,-0.04196331741862045,-0.13993804715617256,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,1,NonN Oligo MBP 1,M3C NonN Oligo MBP MOBP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C12_AD012,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD012,3532448.0,0.7200743620459734,0.009447616567297071,0.008445917531085279,0.1984575918704912,-27.89117218348001,16.779790483380822,4.178352826258724,-0.30913130602054967,0.2759493295255312,-0.0560727053666077,-0.1803643873523369,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD007,snm3C-seq,21,UMB5577,snm3C-seq,BA10,AD007,1689923.0,0.8126180597578793,0.04915890356289336,0.014876478507461053,25.970991715921038,11.40166888913966,27.6938474488338,-7.445868676195677,-0.47930352420872263,-0.13313059258957632,-0.05103171830311484,0.35730124456104667,4,Inh CGE VIP,Inh,#3ba3ec,#e377c2,7,Inh CGE VIP 7,M3C Inh CGE VIP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD008,snm3C-seq,17,UMB5577,snm3C-seq,BA10,AD008,1516304.0,0.7777950337995869,0.05678550395482585,0.01712060997902388,24.420678166760858,-9.92074767981756,4.717715730891,17.935750250583283,0.13817540120685678,0.11565426887393603,0.3308759319278709,0.15731218898164145,13,Exc L4 PLCH1,Exc,#d58c31,#ff7f0e,2,Exc L4 PLCH1 2,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C2_AD012,snm3C-seq,2,UMB5577,snm3C-seq,BA10,AD012,1747513.0,0.7543750899646465,0.038522338389165627,0.013446947895909913,-20.116962279222868,12.930983240434902,-2.5498341029682328,5.338329007188659,0.38003943870399104,0.07262842433068663,-0.43517355656413176,-0.009456598441992797,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,1,Exc L1-3 CUX2 1,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD007,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD007,4202169.0,0.764672432575268,0.052616041325797516,0.013769198407128373,-1.3909709054122839,20.700808476716443,0.12139342543229335,8.006240927261771,0.7414800659117335,0.026297936861892583,-0.2605398937880654,0.014844197144352369,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD008,snm3C-seq,15,UMB5577,snm3C-seq,BA10,AD008,3912490.0,0.8250736880271978,0.07138835842792134,0.01817951607904376,34.040782013110835,17.62562864814274,30.438879559475232,-10.06122016514036,-0.48652480964951506,-0.2546950456304201,-0.0750147985295363,0.2786491595211776,14,Inh CGE NDNF,Inh,#3582b9,#b26199,3,Inh CGE NDNF 3,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD010,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD010,5056166.0,0.7605493138537809,0.007834497642028716,0.00701518826368087,-24.904723190028225,-10.370916651851635,22.031607376966868,12.185735099758759,-0.3126795971920444,0.3439822656546173,-0.04875144969828995,-0.20183303302964997,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C3_AD012,snm3C-seq,7,UMB5577,snm3C-seq,BA10,AD012,4223386.0,0.8090457642141916,0.053882193426094994,0.01431458972146454,1.8117078554445911,-52.53727156938063,36.85558110859994,5.916409823344652,-0.35488573061756884,-0.5730655660240627,-0.025984219854677575,-0.2735594299464898,8,Inh MGE PVALB,Inh,#36aab5,#8c564b,5,Inh MGE PVALB 5,M3C Inh MGE PVALB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD007,snm3C-seq,13,UMB5577,snm3C-seq,BA10,AD007,4588290.0,0.7470421493147504,0.011030712511363524,0.008032856917676107,-6.601313009221614,-6.301899717551374,15.388021415442772,8.792893447716727,-0.46397530535875203,0.4237125668298602,-0.02954210311240645,-0.1534514677370936,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,6,NonN Micro-Endo TYROBP 6,M3C NonN Other -
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD008,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD008,4217377.0,0.7483094237432115,0.008633115334708561,0.008043551484199345,-2.9387626789479606,-27.991200403375714,15.756383654381613,4.606390300336792,-0.25615864500614605,0.3244967823524207,-0.038002921719097756,-0.21823562169529642,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD010,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD010,4774083.0,0.7714686651853586,0.01444922858843644,0.008892453190323434,-25.055357446756542,-39.566794774670264,29.107996290533606,12.93646422313681,-0.6073448943704154,0.471720581024818,-0.06229790625279276,-0.11002414072536489,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,1,NonN Oligo MBP 1,M3C NonN Oligo MBP MOBP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C4_AD012,snm3C-seq,3,UMB5577,snm3C-seq,BA10,AD012,4565371.0,0.7901328117705391,0.05166161762252674,0.014345683166070206,42.8706023298611,-14.588688283540012,6.723135355347144,22.259228866262,0.4624145747405935,0.1272499124308662,0.4386281878887732,0.13395078064636412,5,Exc L4-5 FOXP2,Exc,#99682c,#b56014,0,Exc L4-5 FOXP2 0,M3C Exc L4-5 FOXP2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C5_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C5_AD010,snm3C-seq,20,UMB5577,snm3C-seq,BA10,AD010,3149379.0,0.8084782696352847,0.09824604272074727,0.02470415558205669,-8.389214781328327,49.80186801909402,26.700553445437418,27.232157374569308,0.22576385860253478,-0.0019993264906364677,0.5800050846678684,-0.07492754748816927,3,Exc L4-6 LRRK1,Exc,#a39f31,#2ca02c,2,Exc L4-6 LRRK1 2,M3C Exc L4-6 LRRK1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C5_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C5_AD012,snm3C-seq,13,UMB5577,snm3C-seq,BA10,AD012,3652515.0,0.7933598600513874,0.008711107086810766,0.008016644457987722,-5.30028521205495,-15.633297186766633,14.818416624028519,6.509469385793219,-0.28521777067866905,0.34286757871350954,-0.04133146951583377,-0.21949130280121767,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,2,NonN Micro-Endo TYROBP 2,M3C NonN Other -
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD007,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD007,1909812.0,0.7506670455254241,0.04858041490800645,0.01374249978223108,-1.3695102194773168,15.624093511193356,1.211179392469451,8.492215552049952,0.6781469753076034,0.062219131911429526,-0.2476952522848319,-0.04618364745996718,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD008,snm3C-seq,12,UMB5577,snm3C-seq,BA10,AD008,1692972.0,0.7556526555989153,0.056892851678905926,0.017629966117559643,-68.0593192569744,-2.6358379364026754,-6.260782069242908,23.736113099203685,0.0810193617034442,-0.03902882164954089,0.11613650387015977,-0.07431310797557834,11,Exc L6 TLE4,Exc,#34ae90,#9467bd,1,Exc L6 TLE4 1,M3C Exc L6 TLE4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C6_AD012,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD012,2299608.0,0.7509505387451608,0.012347666819954209,0.00928675654097112,-36.89002508988578,-23.54695864572775,26.150499145763686,13.973476012302964,-0.4891063572220722,0.3997680908968655,-0.02916566659321138,-0.137426652020517,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,1,NonN Oligo MBP 1,M3C NonN Oligo MBP MOBP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD007,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD007,2640114.0,0.7693702501605779,0.06387676509948684,0.01798532270441446,4.594755672970313,4.735023845255797,0.16031860870693956,11.516722198077346,0.727614536579466,0.056866623149631965,-0.009145462368035786,0.008282177326868707,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD008,snm3C-seq,7,UMB5577,snm3C-seq,BA10,AD008,2277685.0,0.8159249769755799,0.06479084394942274,0.02049550769594428,-0.9568439608528315,-54.490106670012494,37.66869059977542,6.42334469705956,-0.3396376634028987,-0.4626905815094494,-0.01552884716720685,-0.25761787220781546,8,Inh MGE PVALB,Inh,#36aab5,#8c564b,1,Inh MGE PVALB 1,M3C Inh MGE PVALB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD010,snm3C-seq,19,UMB5577,snm3C-seq,BA10,AD010,2595469.0,0.8019388565717653,0.039742523174380776,0.015588546072496184,39.34325543105346,30.44965771220484,23.225736215790988,-12.042871444213366,-0.45522725186124113,-0.2584587224166955,-0.058991953742367265,0.20900994722889327,17,Inh CGE LAMP5,Inh,#2e6286,#824c71,3,Inh CGE LAMP5 3,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C7_AD012,snm3C-seq,7,UMB5577,snm3C-seq,BA10,AD012,2797535.0,0.8213696714748377,0.06415445635811981,0.01802965964452208,-2.4058827501524758,-52.45771378585885,38.20026047113405,5.895797515393398,-0.32509282013393836,-0.5434431134367073,-0.014443924772023364,-0.2536942490763125,8,Inh MGE PVALB,Inh,#36aab5,#8c564b,2,Inh MGE PVALB 2,M3C Inh MGE PVALB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD008,snm3C-seq,21,UMB5577,snm3C-seq,BA10,AD008,2941056.0,0.8030064994104588,0.08012079163634321,0.021216627887452325,22.27015494032055,13.518941722037226,27.750253018814398,-9.010735752652444,-0.4510435885428974,-0.32463800644865043,-0.027958204624569112,0.21341116302413501,4,Inh CGE VIP,Inh,#3ba3ec,#e377c2,7,Inh CGE VIP 7,M3C Inh CGE VIP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD010,snm3C-seq,3,UMB5577,snm3C-seq,BA10,AD010,3571245.0,0.7751462145539563,0.05643623338572067,0.015342042839359159,43.0185563597434,-14.864848643620636,7.041200222262335,22.39079938242042,0.4413565332089838,0.12595288776714467,0.43234422499001285,0.1116473750443956,5,Exc L4-5 FOXP2,Exc,#99682c,#b56014,0,Exc L4-5 FOXP2 0,M3C Exc L4-5 FOXP2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C8_AD012,snm3C-seq,21,UMB5577,snm3C-seq,BA10,AD012,7416951.0,0.7910306929684322,0.026750290136684958,0.010823640723642357,48.484686703354114,6.6923453538077355,29.854952000059207,-6.899395947472365,-0.603160821932482,-0.1634925240113295,-0.04820019453377226,0.3500721847092859,4,Inh CGE VIP,Inh,#3ba3ec,#e377c2,6,Inh CGE VIP 6,M3C Inh CGE VIP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD007,snm3C-seq,19,UMB5577,snm3C-seq,BA10,AD007,1817549.0,0.8022563419702438,0.0372218339838158,0.015058894209939515,29.13891921494027,29.777500130855348,25.087848732906792,-11.329563629027435,-0.4584104652552945,-0.2003034250949709,-0.08890871421475274,0.20553283731029917,17,Inh CGE LAMP5,Inh,#2e6286,#824c71,1,Inh CGE LAMP5 1,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD008,snm3C-seq,27,UMB5577,snm3C-seq,BA10,AD008,1475395.0,0.8066544585376979,0.061293910641667775,0.017338199049551327,27.059094678925405,41.344642811670475,18.063255433345308,-14.078574857135306,-0.3915951201429917,-0.3953660585489219,0.002975615523555359,-0.03266724963649503,23,Inh MGE UNC5B,Inh,#2c666b,#563b36,1,Inh MGE UNC5B 1,M3C Inh MGE PVALB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD010,snm3C-seq,10,UMB5577,snm3C-seq,BA10,AD010,1581754.0,0.7831143269139919,0.06690014843816666,0.018349390534629657,-19.023247088985027,48.48576841553115,28.470472886377767,24.421122935604924,0.3481249872787189,0.0059035422630508375,0.4754671677034884,-0.11528667123685829,3,Exc L4-6 LRRK1,Exc,#a39f31,#2ca02c,3,Exc L4-6 LRRK1 3,M3C Exc L4-6 LRRK1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_C9_AD012,snm3C-seq,17,UMB5577,snm3C-seq,BA10,AD012,1725873.0,0.7782987190441203,0.05143036984838749,0.015860830565548368,23.468254039146675,-9.59647072146369,4.404554227760176,17.567761170419935,0.12029619952290542,0.15617146590961992,0.24100650604735277,0.16083036106226947,13,Exc L4 PLCH1,Exc,#d58c31,#ff7f0e,1,Exc L4 PLCH1 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD007,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD007,2479237.0,0.7553945239615425,0.051393158025319165,0.014439651193560497,4.436363314991842,14.53181097862389,1.3776884895667145,9.268477293321565,0.7045001643613004,0.0635986033769154,-0.19073277883925815,-0.03256797634816816,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD008,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD008,2183158.0,0.7551803579196913,0.055294194183842384,0.0161696362549526,-9.412653787289184,10.388446125673404,-1.2023524775155214,8.203201012610114,0.6243901781585686,0.051098056680247916,-0.23917738552486204,-0.012435639506177843,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD010,snm3C-seq,23,UMB5577,snm3C-seq,BA10,AD010,2418961.0,0.7935417465960236,0.0683196866353286,0.018392040575932262,9.521966123199768,-11.791133385433566,17.767230485688685,30.37304322803353,0.2746961317006225,0.0648066901950945,0.48780699762236934,0.08765184196333,18,Exc L4-5 TOX,Exc,#40812c,#9a2526,0,Exc L4-5 TOX 0,M3C Exc L5-6 PDZRN4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D10_AD012,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD012,2291238.0,0.7514032862148121,0.05113943578056778,0.014198604217078468,3.202782607971168,15.898689960716947,1.0748379502974392,9.286695843456819,0.7076849658884741,0.04191033005104376,-0.19511558407672663,-0.057958674422023355,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD007,snm3C-seq,3,UMB5577,snm3C-seq,BA10,AD007,5193733.0,0.7766771090449949,0.05151786246138471,0.014377366374475281,46.0120051202263,-10.287449589032418,6.1319018618713335,22.879428641775096,0.42947820780543405,0.11344971666497532,0.4594643382664568,0.1392447999468223,5,Exc L4-5 FOXP2,Exc,#99682c,#b56014,0,Exc L4-5 FOXP2 0,M3C Exc L4-5 FOXP2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD008,snm3C-seq,6,UMB5577,snm3C-seq,BA10,AD008,4680594.0,0.7538896236336878,0.04267221064058375,0.013632476405624028,-30.818308924339302,18.41658576965295,-2.244465580107477,2.955594086748002,0.45878617246216985,0.03913209190483305,-0.47158064966075613,0.045624702337226625,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,2,Exc L1-3 CUX2 2,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D11_AD010,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD010,4906261.0,0.7601042284301899,0.010549247453848705,0.00789662105912616,-37.9094055169811,-21.2865524154456,25.90284980839896,14.571214967282229,-0.5525033284279137,0.48311498130044495,-0.03496692158537461,-0.1668925104183028,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,1,NonN Oligo MBP 1,M3C NonN Oligo MBP MOBP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD007,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD007,3285434.0,0.7617993452631515,0.011061088118069565,0.008527817504514418,-36.372055580230814,-20.469122900972458,25.428550322380577,14.258169272782135,-0.5054325878400672,0.45310628034304856,-0.013433404730459985,-0.1364814526795399,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD008,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD008,3038873.0,0.6936100471454006,0.009680353092410316,0.009061560778587885,1.0374153178386518,-29.251697073283847,16.831767102715062,3.838057995293387,-0.2709664566063598,0.2816032439999401,-0.03223995899156417,-0.21449944768484402,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD010,snm3C-seq,8,UMB5577,snm3C-seq,BA10,AD010,3349104.0,0.7326674778820279,0.008268057021734205,0.007679844557534117,-4.082569080071156,-29.303956074623986,15.623135417499377,3.7407972369327345,-0.30885388520292745,0.36401697965293645,-0.0429162682317339,-0.203430654654356,2,NonN Micro-Endo TYROBP,NonN,#8b427a,#6e6f22,5,NonN Micro-Endo TYROBP 5,M3C NonN Micro CSF1R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_D12_AD012,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD012,3689590.0,0.7793948440463974,0.009626776948647765,0.008667708541873532,-24.061185552039184,-9.334370759107783,22.131987887738894,12.621880785867715,-0.35490644665523813,0.38121235965146727,-0.028295513264254883,-0.17333981498853882,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
